marketName,action,usdcAmount,tokenAmount,tokenName,timestamp,hash
Los Angeles Dodgers vs. Milwaukee Brewers,Sell,42.4215,42.85,Los Angeles Dodgers,1773096759,0x9a644ba6de01b39b44eef24280ba80af1d3dbbab0fe0e95b46bed2573d683938
Pittsburgh Pirates vs. New York Yankees,Buy,11.999999,31.846828,Pittsburgh Pirates,1773096219,0x47b34a542461e5017d6d36a0f8d80216efdfa2507fa88f1f9b5e25b12d64962a
Los Angeles Dodgers vs. Milwaukee Brewers,Buy,20.999999,42.857141,Los Angeles Dodgers,1773089903,0xa6dc621b691469f47d946951b5d230e6d221b68a059f1e2b9566d30e89d3cfc5
Oilers vs. Golden Knights,Sell,40.76919,40.81,Oilers,1773030319,0xfa81535dc6a566d003c07a6f0770056289c71ca30b24bf7d08dcf83352fb02e9
Oilers vs. Golden Knights,Buy,19.999999,40.816325,Oilers,1773020899,0xabfa8c3806c8d5b1b8e64ca8c42d092e3545387c0ecf6df8a54ebd48595cb7cf
Withdrew funds,Withdraw,22,22,USDC,1773020521,0xdb49d5a3f875863a2cc56b5e7f6c0c6a1710027af18682d3abaf0ceb18558f10
Lightning vs. Sabres,Sell,20.5898,26.74,Lightning,1773016109,0x3bda9d7ea685c9771ef4d7aedafdb72708144b5ecfe51dc4fcebb8f2ba528f81
Withdrew funds,Withdraw,25,25,USDC,1773012941,0x102715359cd1df7811b1f4bd6ca8653b783470c22e020918190ba4e9ebcfc949
Lightning vs. Sabres,Buy,9.999999,26.732893,Lightning,1773012021,0x1e57d43f1a9931c4dd29f7522ce63782ac9d4346fff6f1d4585f86352c2dc6f4
Lightning vs. Sabres,Sell,9.8244,27.29,Lightning,1773011861,0x17efa7f37bafaa5c2bbec94a78b610afb4582df7d3f4a488bc03e535ecb6e4e7
Islanders vs. Sharks,Redeem,0,0,,1773011313,0x7026c8d90f4e65c108af8af640428708b0c1cfa083b921bed9cd843c1893e412
Arizona Diamondbacks vs. Cincinnati Reds,Sell,52.74852,53.88,Cincinnati Reds,1773010353,0x371c77fd1d064a8619fe14ab4f888bfaebb955e5ddc1bb5a7168ee1dbfdf12ae
Arizona Diamondbacks vs. Cincinnati Reds,Sell,9.36,10,Cincinnati Reds,1773010205,0xdd8c31ea3b2d43c9df71ee9b17b893ff746e6651aea86265af75aa700cc233fd
Los Angeles Dodgers vs. Athletics,Sell,59.74206,60.83,Athletics,1773010169,0xc6b47d5738f024c5b130584a327f2b6a97d280d0c7b959baed07969ec9d90575
Lightning vs. Sabres,Buy,9.999999,27.297296,Lightning,1773009773,0xd2a5ae8e91ac1b3bf6162a24507e129c978a860d18db65a625f55e0eea2f8952
Los Angeles Dodgers vs. Athletics,Buy,24.999999,60.831729,Athletics,1773007593,0x76f722f445eec1ae1a42a462c9efa362aac17bf205c498efddb20a1e8daf9ae9
Arizona Diamondbacks vs. Cincinnati Reds,Buy,41.999999,63.880596,Cincinnati Reds,1773001325,0xfe81f0e98e1bfb35837cefe2641355e8aa19369be3a0b517a891fc9ae580ec6f
Lightning vs. Sabres,Sell,17.180038,34.989996,Sabres,1772961697,0xf70a42f835e68fe375c21299ad188096d697aae2f8bef6d56b9f2f5a82cd557b
Lightning vs. Sabres,Buy,17.465039,34.999996,Sabres,1772961389,0x88ae4d890ee70efeb45444740379282caab03787ab27180794bbcba62487b8f5
Hornets vs. Suns,Sell,1.886679,2.989998,Hornets,1772960873,0xe7b1e246525d8307c2e907039fb7b3ad53501051cca3fb28bcaf46a765569faf
Hornets vs. Suns,Buy,1.916998,2.999995,Hornets,1772960725,0xbc61a432f43d90874083a5d209ad5336b6549fbeeb24c30d721796c7aba9b90a
Deposited funds,Deposit,182.018311,182.018311,USDC,1772949487,0x743ea42fdbaddfeaedb717269df994d1a6dde8438093bebffb42ebbb6cbac7ee
Islanders vs. Sharks,Buy,20.999999,43.265305,Sharks,1772946513,0xc6852662658dd13c15831587174adfe0cdd8a52791012b640bc53c68c437437d
Deposited funds,Deposit,31.824135,31.824135,USDC,1772940855,0xacd59a6dcb599f2edbfc0628e8e3a37442aad59399f27743b9ed48a8c33fd16b
Withdrew funds,Withdraw,32,32,USDC,1772940683,0x1e3d148b1ce48f33bb68a13af851fe7cdf54dc7d98edb0ef186220c50a4febf5
Deposited funds,Deposit,182.06378000000004,182.06378000000004,USDC,1772939577,0xfd387391efab776d2fba4c736eb2e60251bf9151171772d41141ee5bf6b3e584
San Diego Padres vs. Athletics,Sell,96.9064,107.76,San Diego Padres,1773443195,0x5368bd72fcca0a2a5ba643c694f5a6ce7cc611c7d6760654b52058eae028d3bc
